n	p	alpha	c_palpha
60	0.01	0.01	1.557901465
60	0.05	0.01	1.072968127
60	0.1	0.01	0.865620779
60	0.2	0.01	0.658851978
60	0.3	0.01	0.538864322
60	0.4	0.01	0.455309461
60	0.5	0.01	0.392696215
60	0.6	0.01	0.344706609
60	0.7	0.01	0.308907603
60	0.8	0.01	0.284991371
60	0.9	0.01	0.277831746
60	0.95	0.01	0.286883032
60	0.99	0.01	0.321986385
70	0.01	0.01	1.411554804
70	0.05	0.01	0.973886673
70	0.1	0.01	0.786703098
70	0.2	0.01	0.599984966
70	0.3	0.01	0.491826412
70	0.4	0.01	0.416319955
70	0.5	0.01	0.359698392
70	0.6	0.01	0.316561081
70	0.7	0.01	0.284670093
70	0.8	0.01	0.264152646
70	0.9	0.01	0.259043165
70	0.95	0.01	0.268555489
70	0.99	0.01	0.302511346
80	0.01	0.01	1.297778607
80	0.05	0.01	0.896426126
80	0.1	0.01	0.724744399
80	0.2	0.01	0.554035908
80	0.3	0.01	0.454946231
80	0.4	0.01	0.386083506
80	0.5	0.01	0.33459738
80	0.6	0.01	0.295465208
80	0.7	0.01	0.266306285
80	0.8	0.01	0.247908758
80	0.9	0.01	0.243957872
80	0.95	0.01	0.25347081
80	0.99	0.01	0.28610262
90	0.01	0.01	1.208271139
90	0.05	0.01	0.835127181
90	0.1	0.01	0.67543576
90	0.2	0.01	0.51685166
90	0.3	0.01	0.424643697
90	0.4	0.01	0.360779445
90	0.5	0.01	0.31305685
90	0.6	0.01	0.277045671
90	0.7	0.01	0.250486088
90	0.8	0.01	0.233996735
90	0.9	0.01	0.231268087
90	0.95	0.01	0.240743073
90	0.99	0.01	0.272014148
100	0.01	0.01	1.132296964
100	0.05	0.01	0.782518096
100	0.1	0.01	0.633173109
100	0.2	0.01	0.48497716
100	0.3	0.01	0.398934759
100	0.4	0.01	0.339033066
100	0.5	0.01	0.294783731
100	0.6	0.01	0.261285561
100	0.7	0.01	0.237053039
100	0.8	0.01	0.221985016
100	0.9	0.01	0.220072722
100	0.95	0.01	0.229508069
100	0.99	0.01	0.260201275
6	0.01	0.025	8.885269606
6	0.05	0.025	5.906046907
6	0.1	0.025	4.620137827
6	0.2	0.025	3.327891093
6	0.3	0.025	2.566602491
6	0.4	0.025	2.028164986
6	0.5	0.025	1.617575061
6	0.6	0.025	1.29106621
6	0.7	0.025	1.030623722
6	0.8	0.025	0.824675566
6	0.9	0.025	0.675534407
6	0.95	0.025	0.630940031
